Wines,Price,Category,Grapes 1,Grapes 2,Grapes 3,Grapes 4,Region 1,Region 2,Region 3,Region 4,Alcohol,Food Pairing,Notes,Link
Baglio di Pianetto - Insolia ORGANIC DOC 2020,49,"White, Dry, Still",100% Insolia,,,,"Sicily, Italy",,,,13.00%,Perfect with starters such as marbled cheeses and with oily fish,"Category: White, Dry, StillGrapes: 100% InsoliaAlcohol: 13.0%Straw yellow with slightly green highlightsFloral notes of orange blossom and green appleFresh, sapid and mineralFood Pairing:Perfect with starters such as marbled cheeses and with oily fish",https://www.winelistasia.com/store/p284/Baglio_di_Pianetto_-_Insolia_ORGANIC__DOC_2020.html
"Romanelli - Trebbiano Spoletino ""Le Tese"" IGT 2021 (Orange Wine)",88,"White, Dry, Still",100% Trebbiano Spoletino,,,,"Tuscany/Emilia-Romagna, Italy",,,,12.50%,"Cheeses, egg dishes and, more generally, vegetarian appetizers. Exciting with the black truffle","Category: White, Dry, StillGrapes: 100% Trebbiano SpoletinoAlcohol: 12.5%Golden yellow, typical color of wines produced with long macerationReach, yellow citrus, exotic fruits and yellow pulp with a slight hint of mineralityLarge, dense, complex supported at the same time by a fresh acidity. Excellent persistenceFood Pairing: Cheeses, egg dishes and, more generally, vegetarian appetizers. Exciting with the black truffle",https://www.winelistasia.com/store/p292/Romanelli_-_Trebbiano_Spoletino_%22Le_Tese%22_IGT_2021_%28Orange_Wine%29.html
Romanelli - Grechetto Colli Martorani DOC 2022,62,"White, Dry, Still",100% Grechetto,,,,"Umbria, Italy",,,,15.00%,"Seafood starters and first courses. Soups with dried pulses and cereals, grilled fish and white meats, fresh cheeses and spicy salamis","Category: White, Dry, StillGrapes: 100% GrechettoAlcohol: 15%Deep straw yellow in colour with gold huesAn intense, fruity and floral bouquet with notes of peach, almond and hawthorn blossomsIn the mouth a crisp attack balanced by alcohol, good body, intense flavors, a pleasing roundnessFood Pairing: Seafood starters and first courses. Soups with dried pulses and cereals, grilled fish and white meats, fresh cheeses and spicy salamis",https://www.winelistasia.com/store/p295/Romanelli_-_Grechetto_Colli_Martorani__DOC_2022.html
"ColleMassari - Vermentino ""Irisse"" DOC 2016",84,"White, Dry, Still",85% Vermentino,15% Grechetto,,,"Sardinia/Liguria/Tuscany, Italy","Umbria, Italy",,,13.50%,"Fish dishes, vegetarian dishes, poultry, light meat, scallops","Category: White, Dry, StillGrapes: 85% Vermentino, 15% GrechettoAlcohol: 13.5%Obvious gold-yellowThis elegant white wine has a buttery and full flavourHints of honey, juicy pears and some melon can be discerned, as well as notes of wild herbs and white blossoms. A wine with excellent storage potential and great eleganceFood Pairing:Fish dishes, vegetarian dishes, poultry, light meat, scallops",https://www.winelistasia.com/store/p296/ColleMassari_-_Vermentino_%22Irisse%22_DOC_2016.html
"Ferro 13 - Pinot Grigio ""The Lady"" DOC 2023",55,"White, Dry, Still",100% Pinot Grigio,,,,"Alsace/Burgundy, France",,,,12.50%,"Different starters, tureens and terrines, fish, shellfish and crustaceans, white meat and poultry","Category: White, Dry, StillGrapes: 100% Pinot GrigioAlcohol %: 12.5Straw-yellow with a greenish toneFlowery aroma with typical tones of ripe fruit, pear, melonFruity mineral flavor, full-bodied with fresh acidityFood PairingDifferent starters, tureens and terrines, fish, shellfish and crustaceans, white meat and poultry",https://www.winelistasia.com/store/p301/Ferro_13_-_Pinot_Grigio_%22The_Lady%22_DOC_2023.html
"CiÃ¹ CiÃ¹ - Falerio ""Oris"" ORGANIC DOP 2023",45,"White, Dry, Still",Trebbiano,Passerina,Pecorino,,"Tuscany/Emilia-Romagna, Italy",,"Marche/Abruzzo, Italy",,13.00%,"White fish, shellfish, crab, lobster","Category: White, Dry, StillGrapes: Trebbiano, Passerina, PecorinoAlcohol %: 13.0Bright straw yellow, whit green shadesSweet with a fruit and white flowers perfumeFruity and harmonious, fresh and slightly bitterFood PairingWhite fish, shellfish, crab, lobster",https://www.winelistasia.com/store/p302/Ci%C3%B9_Ci%C3%B9_-_Falerio_%22Oris%22_ORGANIC_DOP_2023.html
"CiÃ¹ CiÃ¹ - Passerina ""Evoe"" ORGANIC IGT 2020",52,"White, Dry, Still",100% Passerina,,,,"Marche, Italy",,,,13.00%,"Pasta salad with zucchini, lemon and pecorino cheese, oysters with fresh lemon, green olives","Category: White, Dry, StillGrapes: 100% PasserinaAlcohol %: 13.0Straw yellow colour and light, golden shadesPleasant fruity and white flower âs scentGood taste to the palate, with a wide range of perceptions and final aromatic tasting persistenceFood PairingPasta salad with zucchini, lemon and pecorino cheese, oysters with fresh lemon, green olives",https://www.winelistasia.com/store/p305/Ci%C3%B9_Ci%C3%B9_-_Passerina_%22Evoe%22_ORGANIC_IGT_2020.html
"CiÃ¹ CiÃ¹ - Verdicchio dei Castelli di Jesi ""Arbinus "" ORGANIC DOC 2020",52,"White, Dry, Still",100% Verdicchio,,,,"Marche, Italy",,,,13.00%,"Prawn and sweet potato fritters, broad-bean salad with peanut dressing, roasted flounder with lemon butter","Category: White, Dry, StillGrapes: 100% VerdicchioAlcohol %: 13.0Colour straw yellowPleasant flowers perfume and exotic fruits scentFull-bodied with an important structureFood PairingPrawn and sweet potato fritters, broad-bean salad with peanut dressing, roasted flounder with lemon butter",https://www.winelistasia.com/store/p311/Ci%C3%B9_Ci%C3%B9_-_Verdicchio_dei_Castelli_di_Jesi_%22Arbinus_%22_ORGANIC_DOC_2020.html
"CiÃ¹ CiÃ¹ - Malvasia ""Da Dolce"" IGT NV",49,"White, Sweet, Sparkling",100% Malvasia di Candia,,,,"Emilia Romagna , Italy",,,,10.00%,"It pairs perfectly with dry pastries and bakery products (panettone, colomba)","Category: White, Sweet, SparklingGrapes: 100% Malvasia di CandiaAlcohol: 10%Full straw yellow colour tending towards golden, , with finely grained and persistent bubblesOn the nose it releases an intense fragrance typical of the Malvasia di Candia grape variety: aromas of apricot , yellow peach, candied citrus as well as floral and herbal notes such as sageIn the mouth it is sweet but at the same time fresh and well-balancedFood Pairing:It pairs perfectly with dry pastries and bakery products (panettone, colomba)",https://www.winelistasia.com/store/p318/Ci%C3%B9_Ci%C3%B9_-_Malvasia_%22Da_Dolce%22_IGT_NV.html
"Lvnae Bosoni - Vermentino Colli di Luni ""Cavagino"" DOC 2017",126,"White, Dry, Still",100% Vermentino,,,,"Sardinia/Liguria/Tuscany, Italy",,,,14.50%,"Its remarkable structure makes it suitable to accompany even the most substantial dishes of the Ligurian tradition, such as Coniglio alla Ligure (rabbit), chicken cacciatore, stockfish","Category: White, Dry, StillGrapes: 100% VermentinoAlcohol: 14.5%Very intense straw-yellow colour becoming golden, with great vitality. The nose is rewarded with notable complexity with aromas ranging from balsamic to wood resins. Hints of mature fruit, Golden apple,Williams pear, Papaya, becoming honey, wet stone, Mediterranean scrub and spices. Full and strong on the palate with great structure and warm, soft notes and a balance arising from the marked minerality, which bestows taste and drinkability. The persistence of the aromas is extraordinary.Food Pairing:Its remarkable structure makes it suitable to accompany even the most substantial dishes of the Ligurian tradition, such as Coniglio alla Ligure (rabbit), chicken cacciatore, stockfishwith olives and beans, baked meat loaf.",https://www.winelistasia.com/store/p322/Lvnae_Bosoni_-_Vermentino_Colli_di_Luni_%22Cavagino%22_DOC_2017.html
"Grosjean Freres - Petite Arvine ""Vigna Rovettaz"" ORGANIC DOC 2022",115,"White, Dry, Still",100% Petit Arvine,,,,"Val d'Aosta, Italy",,,,13.00%,"It makes a good accompaniment to starters, white meats and fish","Category: White, Dry, StillGrapes: 100% Petit ArvineAlcohol: 13%Bright straw-yellow colourIntense bouquet, floral notes and citrus sensations, especially of pink grapefruit.Good sapidity and well balanced acid structure ensure long-term ageingFood Pairing:It makes a good accompaniment to starters, white meats and fishAwards:2014 - Wine Spectator: 90 points2015 - DEC: 88 points",https://www.winelistasia.com/store/p335/Grosjean_Freres_-_Petite_Arvine_%22Vigna_Rovettaz%22_ORGANIC_DOC_2022.html
"Peter Zemmer - Pinot Grigio Riserva ""Giatl"" DOC 2018",118,"White, Dry, Still",100% Pinot Grigio,,,,"Alsace/Burgundy, France",,,,14.50%,"Appetizers, fish and vegetable based main courses and white meats","Category: White, Dry, StillGrapes: 100% Pinot GrigioAlcohol: 14.5%Straw yellow to golden yellowPleasantly fruity, strong bouquet of ripe fruits, great variety of aromas such us pear, melon and fine woody spiceStrong, balanced and salty, interesting acidity in the mouth, very harmoniously juicy and rich with remarkable fullnessFood Pairing:Appetizers, fish and vegetable based main courses and white meats",https://www.winelistasia.com/store/p338/Peter_Zemmer_-_Pinot_Grigio_Riserva_%22Giatl%22_DOC_2018.html
"CiÃ¹ CiÃ¹ - Offida Pecorino ""Merlettaie"" ORGANIC DOCG 2021",57,"White, Dry, Still",100% Pecorino,,,,"Marche/Abruzzo, Italy",,,,14.00%,"Pecorino cheese and walnut bread, steamed white fish with ginger, chicken thighs with roasted red pepper and onion","Category: White, Dry, StillGrapes: 100% PecorinoAlcohol %: 14.0Deep straw-yellowVery intense and persistent, grassy and hawthorn blossoms aroma, with vanilla perfumeFresh and sapid, agreeable and soft to the palateFood PairingPecorino cheese and walnut bread, steamed white fish with ginger, chicken thighs with roasted red pepper and onion",https://www.winelistasia.com/store/p367/Ci%C3%B9_Ci%C3%B9_-_Offida_Pecorino_%22Merlettaie%22_ORGANIC_DOCG_2021.html
Champagne Mangin et Fils - Champagne Brut AOP NV,95,"White, Dry, Sparkling",100% Pinot Meunier,,,,"Champagne , France",,,,12.00%,To be enjoyed for pre-meal drinks or throughout meals as an accompaniment to poultry with dried fruit,"Category: White, Dry, SparklingGrapes: 100% Pinot MeunierAlcohol: 12%Pale golden colorThe nose first develops aromas of fleshy yellow fruit (peach, apricot). After a few minutes, the nose develops to aromas of dried fruit (hazelnut) and honeyRound and tasty on the palate combined with freshness and acidity, reminiscence of French pastries Food Pairing:To be enjoyed for pre-meal drinks or throughout meals as an accompaniment to poultry with dried fruitAwards:Decanter: 89 PointDecanter: Bronze",https://www.winelistasia.com/store/p375/Champagne_Mangin_et_Fils_-_Champagne_Brut__AOP_NV.html
Champagne Mangin et Fils - Champagne Brut Millesime' AOP 2015,116,"White, Dry, Sparkling",100% Pinot Meunier,,,,"Champagne , France",,,,12.00%,To be accompanied with grilled fish and seafood,"Category: White, Dry, SparklingGrapes: 100% Pinot MeunierAlcohol: 12%Almond greenThe nose is acidulous with fresh citrus aromas (grapefruit, candied lemon) combined with dried blossom aromas (verbena)Fresh and delicate and the aromas of fresh citrus and dried blossom linger harmoniouslyFood Pairing:To be accompanied with grilled fish and seafoodAwards:Decanter: 89 PointDecanter: Bronze",https://www.winelistasia.com/store/p376/Champagne_Mangin_et_Fils_-_Champagne_Brut_Millesime%27__AOP_2015.html
Champagne Mangin et Fils - Champagne Brut Nature AOP NV,98,"White, Dry, Sparkling",100% Pinot Meunier,,,,"Champagne , France",,,,12.00%,To be accompanied with grilled fish and seafood,"Category: White, Dry, SparklingGrapes: 100% Pinot MeunierAlcohol: 12%Light yellow with a gold glintSavory first nose, with aromas of young fruits like quinces. Then it grows quickly into a very fresh note of grapefruitBeautiful and vivid white flower flavor which offers rapidly an acidulous noteFood Pairing:To be accompanied with grilled fish and seafoodAwards:Decanter: 89 PointDecanter: Bronze",https://www.winelistasia.com/store/p377/Champagne_Mangin_et_Fils_-_Champagne_Brut_Nature_AOP_NV.html
"Torre dei Beati - Pecorino ORGANIC ""Bianchi Grilli"" DOC 2020",69,"White', Dry, Still",100% Pecorino,,,,"Marche/Abruzzo, Italy",,,,14.00%,"Great pairing with stewed salted codfish, the very abruzzese lamb âcace e oveâ, aged cheese","Category: White', Dry, StillGrapes: 100% PecorinoAlcohol: 14%Straw yellow with loads of golden reflectionsWhite and yellow flowers, with robinia and broom in evidence, and yellow fruit pulp, with typical varieties of camomile and star aniseTypical herbaceous and spicy notes with gentle vanilla oak and a mineral streakFood Pairing:Great pairing with stewed salted codfish, the very abruzzese lamb âcace e oveâ, aged cheese",https://www.winelistasia.com/store/p382/Torre_dei_Beati_-_Pecorino_ORGANIC_%22Bianchi_Grilli%22_DOC_2020.html
"Torre dei Beati - Pecorino ORGANIC ""Giocheremo Con I Fiori"" DOC 2022",56,"White', Dry, Still",100% Pecorino,,,,"Marche/Abruzzo, Italy",,,,13.50%,"Creamy and fat dishes, like risotto, gnocchi with cheese sauce, Adriatic see fried fish, medium-aged pecorino cheese","Category: White', Dry, StillGrapes: 100% PecorinoAlcohol: 13.5%Straw yellow with light gold shadesCitrus and white flowers, rounded by honey hints but vibrant of the typical herbs flavors of the variety (sage, rosemary, lavender)Zesty acidity and minerality move up the tasting balance giving a long, mouthwatering persistenceFood Pairing:Creamy and fat dishes, like risotto, gnocchi with cheese sauce, Adriatic see fried fish, medium-aged pecorino cheese",https://www.winelistasia.com/store/p383/Torre_dei_Beati_-_Pecorino_ORGANIC_%22Giocheremo_Con_I_Fiori%22_DOC_2022.html
"Torre dei Beati - Trebbiano d""Abruzzo ORGANIC ""Bianchi Grilli"" DOC 2020",66,"White', Dry, Still",100% Trebbiano D'abruzzo,,,,"Tuscany/Emilia-Romagna, Italy",,,,14.00%,"Fresh cheeses and fish preparations and smooth, soft white meat. Ideal for ravioli of burrata with tomatoes and fondue saffron of Navelli","Category: White', Dry, StillGrapes: 100% Trebbiano d'AbruzzoAlcohol: 14%Straw yellow with light gold shadesCitrus and white flowers, rounded by honey hints,sage, rosemary, lavenderZesty acidity and minerality move up the tastingbalance giving a long, mouthwatering persistenceFood Pairing:Fresh cheeses and fish preparations and smooth, soft white meat. Ideal for ravioli of burrata with tomatoes and fondue saffron of Navelli",https://www.winelistasia.com/store/p386/Torre_dei_Beati_-_Trebbiano_d%22Abruzzo_ORGANIC_%22Bianchi_Grilli%22_DOC_2020.html
"Villa Franciacorta - Extra Brut ""Blu"" DOCG 2016",110,"White, Dry, Sparkling",Chardonnay Grapes: 85,Pinot Nero 10,Pinot,,"Burgundy, France",,,,12.50%,"Steamed fish, or delicate fish or vegetable based first course dishes. Also excellent as an aperitif","Category: White, Dry, SparklingGrapes: Chardonnay Grapes: 85%, Pinot Nero 10%, Pinot BiancoAlcohol: 12.5%Straw yellow, fine persistent bubblesThe nose displays elegant fl oral accents, fresh fruits, and yeastsFine persistent bubbles caress the palate, exalting the wineâs alluring softness and elegant structureFood Pairing:Steamed fish, or delicate fish or vegetable based first course dishes. Also excellent as an aperitif",https://www.winelistasia.com/store/p388/Villa_Franciacorta_-_Extra_Brut_%22Blu%22_DOCG_2016.html
"Villa Franciacorta - Pas Dose' ""Diamant"" DOCG 2018",104,"White, Dry, Sparkling",85% Chardonnay,15% Pinot Noir,,,"Burgundy, France","Burgundy, France",,,12.50%,"Perfect as aperitif, unsurpassed with oysters","Category: White, Dry, SparklingGrapes: 85% Chardonnay, 15% Pinot NoirAlcohol: 12.5%Straw yellowElegant floral accents, fresh fruits, and yeastsHazelnuts and white flowers combine with a hint of vanilla and croissant making for an intoxicating pleasureFood Pairing:Perfect as aperitif, unsurpassed with oysters",https://www.winelistasia.com/store/p389/Villa_Franciacorta_-_Pas_Dose%27_%22Diamant%22_DOCG_2018.html
"Villa Franciacorta - Saten ""Mon Saten"" DOCG 2018",97,"Rose', Dry, Sparkling",100% Chardonnay,,,,"Burgundy, France",,,,12.50%,"Suited to steamed fish, or delicate fish or vegetablebased first course dishes. Also excellent as an aperitif","Category: Rose', Dry, SparklingGrapes: 100% ChardonnayAlcohol: 12.5%Straw yellowElegant floral accents, fresh fruits, and yeastsFine persistent bubbles caress the palate, exalting the wineâs alluring softness and elegant structure. Pleasant, persistent finishFood Pairing:Suited to steamed fish, or delicate fish or vegetablebased first course dishes. Also excellent as an aperitif",https://www.winelistasia.com/store/p391/Villa_Franciacorta_-_Saten_%22Mon_Saten%22_DOCG_2018.html
"Les Terrasses De L'Arago - Chardonnay ""de nos Nuits"" IGP 2020",55,"White, Dry, Still",100% Chardonnay,,,,"Burgundy, France",,,,13.00%,"Fresh cheeses and fish preparations and smooth, soft white meat","Category: White, Dry, StillGrapes: 100% ChardonnayAlcohol: 13%Straw yellowBeautiful aromatic complexity, with exotic fruits, pear and hazelnut aromasBold, rich and round, the palate is balanced by a nice freshnessFood Pairing:Fresh cheeses and fish preparations and smooth, soft white meatAwards: 2019 - Decanter: Bronze2019 - Gilbert & Gaillard: Gold",https://www.winelistasia.com/store/p406/Les_Terrasses_De_L%27Arago_-_Chardonnay_%22de_nos_Nuits%22_IGP_2020.html
"Les Terrasses De L'Arago - Vin Deux Naturel ""Rivesaltes Amber"" VDN 2011",68,"White, Sweet, Still",50% Maccabeu,50% Grenache Blanc,,,"Aragon/Catalonia, Spain","Aragon/Catalonia, Spain",,,16.00%,Perfect accompaniment to an aperitif and sweet dishes,"Category: White, Sweet, StillGrapes: 50% Maccabeu; 50% Grenache BlancAlcohol: 16%Amber colorCandied apricot, jam, bourbon vanillaVery beautiful acidity, good balance, corinthian grape and dried fruits aromasFood Pairing:Perfect accompaniment to an aperitif and sweet dishes",https://www.winelistasia.com/store/p409/Les_Terrasses_De_L%27Arago_-_Vin_Deux_Naturel_%22Rivesaltes_Amber%22_VDN_2011.html
"Les Terrasses De L'Arago - White ""ElecciÃ³"" AOP 2019",54,"White, Dry, Still",Grenache White,Roussanne,,,"Aragon/Catalonia, Spain",,,,13.50%,"With vegetables, seafood or fish cooked in olive oil","Category: White, Dry, StillGrapes: Grenache White; RoussanneAlcohol: 13.5%Straw yellowDelicate aromas dominated by floral smells (chamomile) added by the RoussanneVery mineral, the taste is well balanced, well rounded with a long length in the mouthFood Pairing:With vegetables, seafood or fish cooked in olive oilAwards: 2019 - Gilbert & Gaillard: 90 points",https://www.winelistasia.com/store/p411/Les_Terrasses_De_L%27Arago_-_White_%22Elecci%C3%B3%22_AOP_2019.html
"Lvnae Bosoni - Diego Bosoni ""L'Incantatrice"" IGT 2021",77,"White, Dry, Sparkling",Albarola,Vermentino (ancestral Method),,,"Liguria, Italy","Sardinia/Liguria/Tuscany, Italy",,,12.50%,"Ideal aperitf, seafood and finger food","Category: White, Dry, SparklingGrapes: Albarola, Malvasia, Vermentino (Ancestral Method)Alcohol: 12.5%The pale golden yellow is a little hazy due to the presence of yeastElegant and intense with hints of yellow fruit, mediterranean scrub and subtle marine nuancesSensations perceived on the nose are enhanced by a subtle hint of wild berries, broad and embracing body with long persistenceFood Pairing:Ideal aperitf, seafood and finger food",https://www.winelistasia.com/store/p425/Lvnae_Bosoni_-_Diego_Bosoni_%22L%27Incantatrice%22_IGT_2021.html
"Sartori - Prosecco BRUT ""Love Story"" DOC NV",42,"White, Dry, Sparkling",100% Glera,,,,"Veneto, Italy",,,,11.00%,"Perfect choice as an aperitif or as an ideal match with fish, fresh fruit and pastries","Category: White, Dry, SparklingGrapes: 100% GleraAlcohol: 11%Straw yellow in colour with light-green huesDelicate fruit bouquet, reminiscent of wild apples and acacia flowersThe palate is comprised of citrus, orange blossoms and stone fruits. Fresh citrus and floral notes linger on the finishFood Pairing:Perfect choice as an aperitif or as an ideal match with fish, fresh fruit and pastries",https://www.winelistasia.com/store/p427/Sartori_-_Prosecco_BRUT_%22Love_Story%22_DOC_NV.html
Albino Rocca - Bianco Piemonte Cortese DOC 2022,74,"White, Dry, Still",100% Cortese,,,,"Piedmont (Gavi), Italy",,,,13.00%,"Fish appetizer, light pasta, fresh cheese, vegetable risotto, white meat","Category: White, Dry, StillGrapes: 100% CorteseAlcohol: 13%Straw yellowFragrant and fresh, with aromas of white fruit, citrus fruit, floral scents and minerali memoriesBalanced, fresh, smooth and with pleasant mineral notesFood Pairing:Fish appetizer, light pasta, fresh cheese, vegetable risotto, white meat",https://www.winelistasia.com/store/p431/Albino_Rocca_-_Bianco_Piemonte_Cortese_DOC_2022.html
Albino Rocca - Moscato d'Asti DOCG 2020,54,"White, Sweet, Semi-sparkling",100% Moscato,,,,"Piedmont (Asti), Italy",,,,8.50%,Variety of Italian pastries or a fruit dessert like citrus panna cotta with fresh berries,"Category: White, Sweet, Semi-sparklingGrapes: 100% MoscatoAlcohol: 8.5%Pale golden yellowIt's light, floral and fresh, honeysuckle, citrus peel and pearFloral, honeysuckle, citrus peel and pearFood Pairing:Variety of Italian pastries or a fruit dessert like citrus panna cotta with fresh berries",https://www.winelistasia.com/store/p432/Albino_Rocca_-_Moscato_d%27Asti__DOCG_2020.html
"Capofaro - Malvasia ""Didyme"" IGT 2021",100,"White, Dry, Still",100% Malvasia,,,,Italy,,,,13.00%,"Fish and seafood, with capers, with vegetable preparations with aubergines, capers and tomatoes, such as the classic Caponata Siciliana","Category: White, Dry, StillGrapes: 100% MalvasiaAlcohol:13%Straw-yellowFresh wild flowers and ginger , vegetable - vegetal , spicy , mineralSilky and enveloping, matched by a pleasant inner sweetness yet still completely fresh and balanced, with ripe orchard fruits and minerals giving way to pretty inner floralsFood Pairing:Fish and seafood, with capers, with vegetable preparations with aubergines, capers and tomatoes, such as the classic Caponata SicilianaAwards:2018 Falstaff: 92Points2019 Falstaff: 91 Points",https://www.winelistasia.com/store/p439/Capofaro_-_Malvasia_%22Didyme%22_IGT_2021.html
"Capofaro - Malvasia ""Vigna di Paola"" IGT 2021",100,"White, Dry, Still",100% Malvasia,,,,Italy,,,,13.00%,Seefood and vegetarian dishes and apetizers,"Category: White, Dry, StillGrapes: 100% MalvasiaAlcohol:13%Straw-yellowFresh, with pear, lime, lemon peel, toasted hazelnutMineralilty and salty notes on the palate with a slight sweet finishing to attenuate the almond flavourFood Pairing:Seefood and vegetarian dishes and apetizers",https://www.winelistasia.com/store/p440/Capofaro_-_Malvasia_%22Vigna_di_Paola%22_IGT_2021.html
"Capofaro - Malvasia Dolce ""Salina"" IGT 2021",93,"White, Sweet, Still",100% Malvasia,,,,Italy,,,,11.00%,"Blue cheese, dry pastry, and classic Sicilian pastry as cassata and cannoli","Category: White, Sweet, StillGrapes: 100% MalvasiaAlcohol:11%Golden-yellow color tending towards amberHoney, eucalyptus, herbs, dates, ripe apricots honeySweet flavor, ripe apricot, floral notes in the aftertasteFood Pairing:Blue cheese, dry pastry, and classic Sicilian pastry as cassata and cannoliAwards:2008 Falstaff: 90Points2010 Falstaff: 91 Points2015 Falstaff: 92 Points",https://www.winelistasia.com/store/p441/Capofaro_-_Malvasia_Dolce_%22Salina%22_IGT_2021.html
"Sergio Mottura - Grechetto Civitella ""Latour a Civitella"" IGT 2020",92,"White, Dry, Still",100% Grechetto,,,,"Umbria, Italy",,,,14.50%,"Perfect with roast duck, pappardelle in a wild boar sauce, onion soup, Tuscan ribollita, salt cod ""alla Livornese"", or very spicy food such as Indian curry or gazpacho","Category: White, Dry, StillGrapes: 100% GrechettoAlcohol: 14.5%Rich gold in colorElegant and complex nose and subtle woody flavours: white fruits, citrus, warm butter and hazelnutWell-rounded, fresh and velvety, with a lingering finish of fruit and vanillaFood pairing: Perfect with roast duck, pappardelle in a wild boar sauce, onion soup, Tuscan ribollita, salt cod ""alla Livornese"", or very spicy food such as Indian curry or gazpacho",https://www.winelistasia.com/store/p470/Sergio_Mottura_-_Grechetto_Civitella_%22Latour_a_Civitella%22_IGT_2020.html
"Sergio Mottura - Orvieto ""Secco"" DOC 2021",56,"White, Dry, Still",Procanico 45%,Grechetto 20,Rupeccio 10,,"Tuscany, italy","Umbria, Italy",,,13.50%,"Delightful as an aperitif or with classic central Italian dishes: lasagne, spaghetti with summer vegetables, asparagus crÃªpes, chicken or rabbit with olives, fresh cheeses and all fish","Category: White, Dry, StillGrapes: Procanico 45%, Verdello 25%, Grechetto 20%, Rupeccio 10%Alcohol: 13.5%Clear pale yellow with natural golden highlightsFruity fragrant aromas typical of this area, with hints of wild mint and aromatic herbsDry but rounded with a subtly bitter aftertasteFood pairing: Delightful as an aperitif or with classic central Italian dishes: lasagne, spaghetti with summer vegetables, asparagus crÃªpes, chicken or rabbit with olives, fresh cheeses and all fish",https://www.winelistasia.com/store/p473/Sergio_Mottura_-_Orvieto_%22Secco%22_DOC_2021.html
"Sergio Mottura - Orvieto ""Tragugnano"" DOC 2021",61,"White, Dry, Still",Procanico 45 %,Grechetto 20,Rupeccio 10,,"Tuscany, italy","Umbria, Italy",,,13.50%,"As an aperitif accompanied by tomato and basil bruschetta, fresh pecorino cheese or mozzarella, asparagus risotto, fettuccini with butter and sage, gnocchi ""alla romana"", spaghetti in a tuna or tomato sauce","Category: White, Dry, StillGrapes: Procanico 45%, Verdello 25%, Grechetto 20%, Rupeccio 10%Alcohol: 13.5%Pale yellow with natural golden highlightsIn its first year its bouquet is sweet and warm with a fragrance of wild mustard flowers and vanilla; maturity reveals stronger scents such as wild mint, sage, thyme and resinsIn the mouth it is dry but rounded, complex and persistentFood pairing: As an aperitif accompanied by tomato and basil bruschetta, fresh pecorino cheese or mozzarella, asparagus risotto, fettuccini with butter and sage, gnocchi ""alla romana"", spaghetti in a tuna or tomato sauce",https://www.winelistasia.com/store/p474/Sergio_Mottura_-_Orvieto_%22Tragugnano%22_DOC_2021.html
"Cantele - Chardonnay Puglia ""Cantele"" IGP 2022",54,"White, Dry, Still",100% Chardonnay,,,,"Burgundy, France",,,,13.00%,"Drink with all fish including shellfish, vegetables and soft cheeses","Category: White, Dry, StillGrapes: 100% ChardonnayAlcohol: 13%Straw yellow with hints of greenNotes of lily, magnolia, juniper, and linden are followed by ripe fruit and seductive herbaceous aromasThe alcoholic structure and freshness in this wine reward the wine lover with its drinkability and approachability. Its rich finish mirrors its aromas with great balanceFood pairing: Drink with all fish including shellfish, vegetables and soft cheeses",https://www.winelistasia.com/store/p482/Cantele_-_Chardonnay_Puglia_%22Cantele%22_IGP_2022.html
"Cantele - Malvasia Bianca ""Rohesia"" IGP 2022",63,"White, Dry, Still",100% Malvasia Bianca,,,,"Emilia Romagna , Italy",,,,13.50%,Ideal with fish even with elaborated dishes and raw seafood. Excellent with Mediterranean vegetable dishes and young cheeses,"Category: White, Dry, StillGrapes: 100% Malvasia BiancaAlcohol: 13.5%Gold hints on straw pale yellow give a preview of the wineâs vibrant freshness and tenacityApricot and peach alternated by delicate freesia notes and fresh mossThe same fruits and floral notes reappear on the palate with the wineâs brilliant acidity prolonging their aromatic flavors in the mouth. The balance freshness and delicacy give this wine particularly harmonious in all of its elementsFood pairing: Ideal with fish even with elaborated dishes and raw seafood. Excellent with Mediterranean vegetable dishes and young cheeses",https://www.winelistasia.com/store/p483/Cantele_-_Malvasia_Bianca_%22Rohesia%22_IGP_2022.html
"Cantele - Bianco Puglia ""Telero"" IGP 2021",45,"White, Dry, Still",100% Bombino,,,,Apulia,,,,12.50%,Great with shellfish or roasted vegetables,"4Category: White, Dry, StillGrapes: 100% Bombino BiancoAlcohol: 12.5%Straw pale yellow colorAromas of white blossom and pearClean and dry on the palate, there are also tropical notes of banana and pineappleFood pairing: Great with shellfish or roasted vegetables",https://www.winelistasia.com/store/p484/Cantele_-_Bianco_Puglia_%22Telero%22_IGP_2021.html
"Cantele - Chardonnay ""Teresa Manara"" IGP 2022",69,"White, Dry, Still",100% Chardonnay,,,,"Burgundy, France",,,,13.50%,"Versatile wine, it matches with fish dishes, vegetables, white meat and cheese. Try it with lightly fried food and particularly mushrooms","Category: White, Dry, StillGrapes: 100% ChardonnayAlcohol: 13.5%Intense straw yellow with nuanced golden and green tonesSpicy aromas emerge immediately on the nose, giving way to a rainbow of overflowing floral and fruit aromas. Acacia and vine flowers together with local and exotic, ripe fruitSilky in the mouth, velvety and mellifluous, with freshness and sweet spices imparted by selected wood used during aging. The finish wins over the drinker with its length and its terroir expressionFood pairing: Versatile wine, it matches with fish dishes, vegetables, white meat and cheese. Try it with lightly fried food and particularly mushrooms",https://www.winelistasia.com/store/p485/Cantele_-_Chardonnay_%22Teresa_Manara%22_IGP_2022.html
